Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
45,0.029325725,0.021899665,0.746773208,2.514347986,9.0
46,0.029325725,0.021899665,0.746773208,2.514347986,14.0
47,0.029325725,0.021899665,0.746773208,2.514347986,19.0
48,0.029325725,-0.121430633,-4.140754737,4.514347986,14.0
49,0.029325725,-0.121430633,-4.140754737,4.514347986,14.0
50,0.029325725,0.021899665,0.746773208,2.514347986,19.0
51,0.029325725,0.009915327,0.338110214,1.847681319,20.0
52,0.029325725,-0.121430633,-4.140754737,4.514347986,15.0
53,0.029325725,0.000709573,0.024196281,1.814347986,6.0
54,0.029325725,-0.121430633,-4.140754737,4.514347986,6.0
55,0.029325725,0.009915327,0.338110214,1.847681319,9.0
56,0.029325725,0.009915327,0.338110214,1.847681319,9.0
57,0.029325725,0.009915327,0.338110214,1.847681319,9.0
58,0.029325725,0.021899665,0.746773208,2.514347986,4.0
59,0.029325725,0.021899665,0.746773208,2.514347986,5.0
60,0.029325725,0.000709573,0.024196281,1.814347986,8.0
61,0.029325725,0.021899665,0.746773208,2.514347986,9.0
62,0.029325725,0.021899665,0.746773208,2.514347986,2.0
63,0.029325725,0.000709573,0.024196281,1.814347986,1.0
64,0.029325725,0.000709573,0.024196281,1.814347986,0.0
65,0.029325725,0.000709573,0.024196281,1.814347986,-7.0
66,0.029325725,0.009915327,0.338110214,1.847681319,-6.0
67,0.029325725,0.021899665,0.746773208,2.514347986,-11.0
68,0.029325725,0.000709573,0.024196281,1.814347986,-10.0
69,0.029325725,0.021899665,0.746773208,2.514347986,-15.0
70,0.029325725,0.000709573,0.024196281,1.814347986,-16.0
71,0.029325725,0.021899665,0.746773208,2.514347986,-23.0
72,0.029325725,0.021899665,0.746773208,2.514347986,-22.0
73,0.029325725,0.021899665,0.746773208,2.514347986,-21.0
74,0.029325725,0.021899665,0.746773208,2.514347986,-22.0
75,0.029325725,0.021899665,0.746773208,2.514347986,-21.0
76,0.029325725,0.021899665,0.746773208,2.514347986,-22.0
77,0.029325725,0.009915327,0.338110214,1.847681319,-22.0
78,0.029325725,0.000709573,0.024196281,1.814347986,-19.0
79,0.029325725,0.021899665,0.746773208,2.514347986,-18.0
80,0.029325725,0.021899665,0.746773208,2.514347986,-23.0
81,0.029325725,0.021899665,0.746773208,2.514347986,-24.0
82,0.029325725,0.021899665,0.746773208,2.514347986,-25.0
83,0.029325725,0.021899665,0.746773208,2.514347986,-28.0
84,0.029325725,0.021899665,0.746773208,2.514347986,-27.0
85,0.029325725,-0.121430633,-4.140754737,4.514347986,-27.0
86,0.029325725,0.009915327,0.338110214,1.847681319,-32.0
87,0.029325725,0.000709573,0.024196281,1.814347986,-35.0
88,0.029325725,0.021899665,0.746773208,2.514347986,-34.0
89,0.029325725,0.021899665,0.746773208,2.514347986,-31.0
90,0.029325725,0.021899665,0.746773208,2.514347986,-31.0
91,0.029325725,0.021899665,0.746773208,2.514347986,-30.0
92,0.029325725,0.021899665,0.746773208,2.514347986,-27.0
93,0.029325725,0.009915327,0.338110214,1.847681319,-27.0
94,0.029325725,0.021899665,0.746773208,2.514347986,-26.0
95,0.029325725,0.021899665,0.746773208,2.514347986,-26.0
96,0.029325725,0.021899665,0.746773208,2.514347986,-27.0
97,0.029325725,0.009915327,0.338110214,1.847681319,-26.0
98,0.029325725,0.021899665,0.746773208,2.514347986,-33.0
99,0.029325725,0.021899665,0.746773208,2.514347986,-40.0
100,0.029325725,0.000709573,0.024196281,1.814347986,-41.0
101,0.029325725,0.021899665,0.746773208,2.514347986,-28.0
102,0.029325725,0.021899665,0.746773208,2.514347986,-27.0
103,0.029325725,0.021899665,0.746773208,2.514347986,-28.0
104,0.029325725,0.021899665,0.746773208,2.514347986,-29.0
105,0.029325725,0.021899665,0.746773208,2.514347986,-28.0
106,0.029325725,0.021899665,0.746773208,2.514347986,-28.0
107,0.029325725,0.000709573,0.024196281,1.814347986,-29.0
108,0.029325725,0.000709573,0.024196281,1.814347986,-34.0
109,0.029325725,-0.121430633,-4.140754737,4.514347986,-34.0
110,0.029325725,0.000709573,0.024196281,1.814347986,-31.0
111,0.029325725,0.021899665,0.746773208,2.514347986,-31.0
112,0.029325725,0.009915327,0.338110214,1.847681319,-32.0
113,0.029325725,0.000709573,0.024196281,1.814347986,-37.0
114,0.029325725,0.021899665,0.746773208,2.514347986,-37.0
115,0.029325725,0.021899665,0.746773208,2.514347986,-38.0
116,0.029325725,0.021899665,0.746773208,2.514347986,-31.0
117,0.029325725,0.021899665,0.746773208,2.514347986,-26.0
118,0.029325725,0.021899665,0.746773208,2.514347986,-19.0
119,0.029325725,0.021899665,0.746773208,2.514347986,-19.0
120,0.029325725,0.021899665,0.746773208,2.514347986,-24.0
121,0.029325725,0.000709573,0.024196281,1.814347986,-21.0
122,0.029325725,-0.121430633,-4.140754737,4.514347986,-20.0
123,0.029325725,0.009915327,0.338110214,1.847681319,-11.0
124,0.029325725,0.021899665,0.746773208,2.514347986,-10.0
125,0.029325725,0.021899665,0.746773208,2.514347986,-13.0
126,0.029325725,0.021899665,0.746773208,2.514347986,-6.0
127,0.029325725,0.021899665,0.746773208,2.514347986,-6.0
128,0.029325725,0.021899665,0.746773208,2.514347986,-7.0
129,0.029325725,0.021899665,0.746773208,2.514347986,-4.0
130,0.029325725,0.021899665,0.746773208,2.514347986,-4.0
131,0.029325725,0.009915327,0.338110214,1.847681319,-1.0
132,0.029325725,0.009915327,0.338110214,1.847681319,4.0
133,0.029325725,0.021899665,0.746773208,2.514347986,1.0
134,0.029325725,0.021899665,0.746773208,2.514347986,0.0
135,0.029325725,0.021899665,0.746773208,2.514347986,-1.0
136,0.029325725,0.009915327,0.338110214,1.847681319,-1.0
137,0.029325725,0.009915327,0.338110214,1.847681319,4.0
138,0.029325725,0.021899665,0.746773208,2.514347986,4.0
139,0.029325725,0.000709573,0.024196281,1.814347986,11.0
140,0.029325725,0.021899665,0.746773208,2.514347986,12.0
141,0.029325725,0.021899665,0.746773208,2.514347986,11.0
142,0.029325725,0.021899665,0.746773208,2.514347986,8.0
143,0.029325725,0.021899665,0.746773208,2.514347986,8.0
144,0.029325725,-0.121430633,-4.140754737,4.514347986,9.0
145,0.029325725,0.021899665,0.746773208,2.514347986,14.0
146,0.029325725,0.021899665,0.746773208,2.514347986,15.0
147,0.029325725,0.021899665,0.746773208,2.514347986,18.0
148,0.029325725,0.021899665,0.746773208,2.514347986,21.0
149,0.029325725,0.021899665,0.746773208,2.514347986,20.0
150,0.029325725,0.021899665,0.746773208,2.514347986,19.0
151,0.029325725,0.009915327,0.338110214,1.847681319,20.0
152,0.029325725,0.009915327,0.338110214,1.847681319,21.0
153,0.029325725,0.021899665,0.746773208,2.514347986,22.0
154,0.029325725,0.021899665,0.746773208,2.514347986,19.0
155,0.029325725,0.021899665,0.746773208,2.514347986,22.0
156,0.029325725,0.021899665,0.746773208,2.514347986,29.0
157,0.029325725,0.021899665,0.746773208,2.514347986,28.0
158,0.029325725,0.021899665,0.746773208,2.514347986,27.0
159,0.029325725,0.021899665,0.746773208,2.514347986,32.0
160,0.029325725,0.000709573,0.024196281,1.814347986,31.0
161,0.029325725,0.021899665,0.746773208,2.514347986,32.0
162,0.029325725,0.021899665,0.746773208,2.514347986,33.0
163,0.029325725,0.021899665,0.746773208,2.514347986,32.0
164,0.029325725,0.021899665,0.746773208,2.514347986,33.0
165,0.029325725,0.009915327,0.338110214,1.847681319,32.0
166,0.029325725,0.000709573,0.024196281,1.814347986,25.0
167,0.029325725,0.021899665,0.746773208,2.514347986,24.0
168,0.029325725,0.009915327,0.338110214,1.847681319,23.0
169,0.029325725,0.021899665,0.746773208,2.514347986,23.0
170,0.029325725,0.000709573,0.024196281,1.814347986,22.0
171,0.029325725,0.021899665,0.746773208,2.514347986,22.0
172,0.029325725,0.000709573,0.024196281,1.814347986,21.0
173,0.029325725,0.021899665,0.746773208,2.514347986,20.0
174,0.029325725,0.000709573,0.024196281,1.814347986,13.0
175,0.029325725,0.021899665,0.746773208,2.514347986,12.0
176,0.029325725,0.021899665,0.746773208,2.514347986,12.0
177,0.029325725,0.021899665,0.746773208,2.514347986,11.0
178,0.029325725,0.000709573,0.024196281,1.814347986,10.0
179,0.029325725,0.021899665,0.746773208,2.514347986,10.0
180,0.029325725,0.000709573,0.024196281,1.814347986,10.0
181,0.029325725,0.021899665,0.746773208,2.514347986,11.0
182,0.029325725,0.021899665,0.746773208,2.514347986,10.0
183,0.029325725,0.021899665,0.746773208,2.514347986,11.0
184,0.029325725,0.021899665,0.746773208,2.514347986,12.0
185,0.029325725,0.000709573,0.024196281,1.814347986,12.0
186,0.029325725,0.021899665,0.746773208,2.514347986,15.0
187,0.029325725,0.021899665,0.746773208,2.514347986,24.0
188,0.029325725,0.009915327,0.338110214,1.847681319,21.0
189,0.029325725,0.021899665,0.746773208,2.514347986,24.0
190,0.029325725,0.021899665,0.746773208,2.514347986,23.0
191,0.029325725,0.000709573,0.024196281,1.814347986,20.0
192,0.029325725,0.021899665,0.746773208,2.514347986,19.0
193,0.029325725,0.021899665,0.746773208,2.514347986,18.0
194,0.029325725,0.021899665,0.746773208,2.514347986,15.0
195,0.029325725,0.021899665,0.746773208,2.514347986,14.0
196,0.029325725,0.021899665,0.746773208,2.514347986,17.0
197,0.029325725,0.021899665,0.746773208,2.514347986,22.0
198,0.029325725,0.021899665,0.746773208,2.514347986,23.0
199,0.029325725,0.021899665,0.746773208,2.514347986,18.0
