Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.347172754,-0.006284259,-0.018101244,1.814347986,-1
1,0.347172754,-0.006284259,-0.018101244,1.814347986,8.0
2,0.347172754,-0.090619735,-0.261022023,2.514347986,8.0
3,0.347172754,0.054839319,0.157959742,1.847681319,7.0
4,0.347172754,0.054839319,0.157959742,1.847681319,4.0
5,0.347172754,0.286763835,0.825997523,4.514347986,1.0
6,0.347172754,0.286763835,0.825997523,4.514347986,-2.0
7,0.347172754,0.286763835,0.825997523,4.514347986,-1.0
8,0.347172754,-0.090619735,-0.261022023,2.514347986,8.0
9,0.347172754,0.054839319,0.157959742,1.847681319,7.0
10,0.347172754,0.286763835,0.825997523,4.514347986,10.0
11,0.347172754,-0.090619735,-0.261022023,2.514347986,10.0
12,0.347172754,0.054839319,0.157959742,1.847681319,7.0
13,0.347172754,-0.090619735,-0.261022023,2.514347986,7.0
14,0.347172754,0.054839319,0.157959742,1.847681319,8.0
15,0.347172754,0.347172754,1.000000000,2.714347986,8.0
16,0.347172754,-0.090619735,-0.261022023,2.514347986,9.0
17,0.347172754,0.347172754,1.000000000,2.714347986,-2.0
18,0.347172754,0.054839319,0.157959742,1.847681319,-2.0
19,0.347172754,-0.006284259,-0.018101244,1.814347986,-5.0
20,0.347172754,0.054839319,0.157959742,1.847681319,-6.0
21,0.347172754,-0.090619735,-0.261022023,2.514347986,-9.0
22,0.347172754,-0.090619735,-0.261022023,2.514347986,-12.0
23,0.347172754,0.054839319,0.157959742,1.847681319,-7.0
24,0.347172754,-0.006284259,-0.018101244,1.814347986,-10.0
25,0.347172754,-0.090619735,-0.261022023,2.514347986,-9.0
26,0.347172754,0.054839319,0.157959742,1.847681319,-2.0
27,0.347172754,0.054839319,0.157959742,1.847681319,-7.0
28,0.347172754,-0.090619735,-0.261022023,2.514347986,-16.0
29,0.347172754,0.286763835,0.825997523,4.514347986,-17.0
30,0.347172754,-0.090619735,-0.261022023,2.514347986,-26.0
31,0.347172754,-0.090619735,-0.261022023,2.514347986,-23.0
32,0.347172754,0.054839319,0.157959742,1.847681319,-24.0
33,0.347172754,-0.006284259,-0.018101244,1.814347986,-19.0
34,0.347172754,-0.090619735,-0.261022023,2.514347986,-18.0
