Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
69,0.036513614,0.036379745,0.996333718,2.514347986,12.0
70,0.036513614,-0.152172760,-4.167562227,4.514347986,13.0
71,0.036513614,0.036379745,0.996333718,2.514347986,18.0
72,0.036513614,0.001088509,0.029811044,1.814347986,15.0
73,0.036513614,0.001088509,0.029811044,1.814347986,14.0
74,0.036513614,-0.152172760,-4.167562227,4.514347986,9.0
75,0.036513614,0.001088509,0.029811044,1.814347986,9.0
76,0.036513614,0.001088509,0.029811044,1.814347986,9.0
77,0.036513614,0.036379745,0.996333718,2.514347986,9.0
78,0.036513614,0.001088509,0.029811044,1.814347986,10.0
79,0.036513614,0.036379745,0.996333718,2.514347986,10.0
80,0.036513614,0.036379745,0.996333718,2.514347986,10.0
81,0.036513614,0.036379745,0.996333718,2.514347986,17.0
82,0.036513614,0.036379745,0.996333718,2.514347986,14.0
83,0.036513614,0.036379745,0.996333718,2.514347986,11.0
84,0.036513614,0.036379745,0.996333718,2.514347986,12.0
85,0.036513614,0.001088509,0.029811044,1.814347986,11.0
86,0.036513614,-0.152172760,-4.167562227,4.514347986,16.0
87,0.036513614,0.036379745,0.996333718,2.514347986,7.0
88,0.036513614,0.001088509,0.029811044,1.814347986,7.0
89,0.036513614,0.036379745,0.996333718,2.514347986,10.0
90,0.036513614,0.036379745,0.996333718,2.514347986,11.0
91,0.036513614,-0.152172760,-4.167562227,4.514347986,14.0
92,0.036513614,-0.152172760,-4.167562227,4.514347986,14.0
93,0.036513614,-0.152172760,-4.167562227,4.514347986,9.0
94,0.036513614,0.001088509,0.029811044,1.814347986,14.0
95,0.036513614,0.001088509,0.029811044,1.814347986,14.0
96,0.036513614,0.036379745,0.996333718,2.514347986,13.0
97,0.036513614,0.036379745,0.996333718,2.514347986,10.0
98,0.036513614,0.001088509,0.029811044,1.814347986,9.0
99,0.036513614,0.036379745,0.996333718,2.514347986,14.0
100,0.036513614,0.036379745,0.996333718,2.514347986,17.0
101,0.036513614,-0.152172760,-4.167562227,4.514347986,20.0
102,0.036513614,0.001088509,0.029811044,1.814347986,19.0
103,0.036513614,-0.152172760,-4.167562227,4.514347986,24.0
104,0.036513614,0.036379745,0.996333718,2.514347986,25.0
105,0.036513614,0.001088509,0.029811044,1.814347986,24.0
106,0.036513614,0.001088509,0.029811044,1.814347986,29.0
107,0.036513614,0.001088509,0.029811044,1.814347986,30.0
108,0.036513614,0.036379745,0.996333718,2.514347986,29.0
109,0.036513614,0.036379745,0.996333718,2.514347986,29.0
110,0.036513614,-0.152172760,-4.167562227,4.514347986,26.0
111,0.036513614,0.001088509,0.029811044,1.814347986,27.0
112,0.036513614,-0.152172760,-4.167562227,4.514347986,26.0
113,0.036513614,0.036379745,0.996333718,2.514347986,27.0
114,0.036513614,-0.152172760,-4.167562227,4.514347986,26.0
115,0.036513614,0.001088509,0.029811044,1.814347986,27.0
116,0.036513614,-0.152172760,-4.167562227,4.514347986,26.0
117,0.036513614,0.001088509,0.029811044,1.814347986,25.0
118,0.036513614,0.036379745,0.996333718,2.514347986,20.0
119,0.036513614,0.036379745,0.996333718,2.514347986,17.0
120,0.036513614,0.001088509,0.029811044,1.814347986,14.0
121,0.036513614,0.001088509,0.029811044,1.814347986,13.0
122,0.036513614,0.036379745,0.996333718,2.514347986,13.0
123,0.036513614,0.036379745,0.996333718,2.514347986,12.0
124,0.036513614,-0.152172760,-4.167562227,4.514347986,13.0
125,0.036513614,0.036379745,0.996333718,2.514347986,18.0
126,0.036513614,0.036379745,0.996333718,2.514347986,18.0
127,0.036513614,0.036379745,0.996333718,2.514347986,21.0
128,0.036513614,0.001088509,0.029811044,1.814347986,22.0
129,0.036513614,0.036379745,0.996333718,2.514347986,21.0
130,0.036513614,-0.152172760,-4.167562227,4.514347986,22.0
131,0.036513614,0.036379745,0.996333718,2.514347986,17.0
132,0.036513614,0.001088509,0.029811044,1.814347986,14.0
133,0.036513614,0.001088509,0.029811044,1.814347986,19.0
134,0.036513614,-0.152172760,-4.167562227,4.514347986,14.0
135,0.036513614,0.001088509,0.029811044,1.814347986,1.0
136,0.036513614,0.036379745,0.996333718,2.514347986,0.0
137,0.036513614,0.001088509,0.029811044,1.814347986,3.0
138,0.036513614,-0.152172760,-4.167562227,4.514347986,3.0
139,0.036513614,0.001088509,0.029811044,1.814347986,6.0
140,0.036513614,-0.152172760,-4.167562227,4.514347986,7.0
141,0.036513614,0.036379745,0.996333718,2.514347986,8.0
142,0.036513614,0.001088509,0.029811044,1.814347986,8.0
143,0.036513614,0.036379745,0.996333718,2.514347986,-1.0
144,0.036513614,0.001088509,0.029811044,1.814347986,2.0
145,0.036513614,0.001088509,0.029811044,1.814347986,7.0
146,0.036513614,-0.152172760,-4.167562227,4.514347986,8.0
147,0.036513614,0.001088509,0.029811044,1.814347986,17.0
148,0.036513614,0.001088509,0.029811044,1.814347986,16.0
149,0.036513614,-0.152172760,-4.167562227,4.514347986,15.0
150,0.036513614,0.001088509,0.029811044,1.814347986,20.0
151,0.036513614,-0.152172760,-4.167562227,4.514347986,21.0
152,0.036513614,0.001088509,0.029811044,1.814347986,12.0
153,0.036513614,0.001088509,0.029811044,1.814347986,12.0
154,0.036513614,0.036379745,0.996333718,2.514347986,11.0
155,0.036513614,0.001088509,0.029811044,1.814347986,10.0
156,0.036513614,0.001088509,0.029811044,1.814347986,10.0
157,0.036513614,0.036379745,0.996333718,2.514347986,1.0
158,0.036513614,-0.152172760,-4.167562227,4.514347986,2.0
159,0.036513614,0.036379745,0.996333718,2.514347986,7.0
160,0.036513614,0.001088509,0.029811044,1.814347986,14.0
161,0.036513614,0.001088509,0.029811044,1.814347986,19.0
162,0.036513614,0.001088509,0.029811044,1.814347986,22.0
163,0.036513614,0.036379745,0.996333718,2.514347986,19.0
164,0.036513614,-0.152172760,-4.167562227,4.514347986,20.0
165,0.036513614,0.001088509,0.029811044,1.814347986,15.0
166,0.036513614,0.001088509,0.029811044,1.814347986,14.0
167,0.036513614,-0.152172760,-4.167562227,4.514347986,5.0
168,0.036513614,0.001088509,0.029811044,1.814347986,-4.0
169,0.036513614,0.001088509,0.029811044,1.814347986,1.0
170,0.036513614,0.001088509,0.029811044,1.814347986,6.0
171,0.036513614,0.036379745,0.996333718,2.514347986,1.0
172,0.036513614,-0.152172760,-4.167562227,4.514347986,6.0
173,0.036513614,0.001088509,0.029811044,1.814347986,11.0
174,0.036513614,0.036379745,0.996333718,2.514347986,8.0
175,0.036513614,0.001088509,0.029811044,1.814347986,8.0
176,0.036513614,0.001088509,0.029811044,1.814347986,13.0
177,0.036513614,0.036379745,0.996333718,2.514347986,4.0
178,0.036513614,-0.152172760,-4.167562227,4.514347986,3.0
179,0.036513614,0.036379745,0.996333718,2.514347986,4.0
180,0.036513614,0.001088509,0.029811044,1.814347986,5.0
181,0.036513614,-0.152172760,-4.167562227,4.514347986,6.0
182,0.036513614,0.001088509,0.029811044,1.814347986,15.0
183,0.036513614,0.001088509,0.029811044,1.814347986,14.0
184,0.036513614,-0.152172760,-4.167562227,4.514347986,19.0
185,0.036513614,-0.152172760,-4.167562227,4.514347986,6.0
186,0.036513614,-0.152172760,-4.167562227,4.514347986,7.0
187,0.036513614,0.001088509,0.029811044,1.814347986,12.0
188,0.036513614,0.001088509,0.029811044,1.814347986,13.0
189,0.036513614,-0.029612672,-0.811003574,1.847681319,12.0
190,0.036513614,0.036379745,0.996333718,2.514347986,15.0
191,0.036513614,-0.152172760,-4.167562227,4.514347986,15.0
192,0.036513614,0.001088509,0.029811044,1.814347986,6.0
193,0.036513614,0.001088509,0.029811044,1.814347986,9.0
194,0.036513614,0.001088509,0.029811044,1.814347986,10.0
195,0.036513614,0.001088509,0.029811044,1.814347986,11.0
196,0.036513614,-0.152172760,-4.167562227,4.514347986,6.0
197,0.036513614,0.001088509,0.029811044,1.814347986,7.0
198,0.036513614,-0.152172760,-4.167562227,4.514347986,0.0
199,0.036513614,0.001088509,0.029811044,1.814347986,-9.0
